,Title,Playtime
584,Kane & Lynch: Dead Men,360.0
585,Crash of the Titans,480.0
586,Harry Potter and the Order of the Phoenix,735.0
587,SimCity DS,180.0
588,Wario: Master of Disguise,570.0
589,No More Heroes,780.0
590,BlackSite: Area 51,348.0
591,Shrek the Third,285.0
592,Shrek the Third,285.0
593,Surf's Up,77.0
595,TMNT,300.0
596,Spider-Man: Friend or Foe,540.0
597,Contra 4,187.0
598,Phoenix Wright: Ace Attorney - Trials and Tribu...,1262.0
599,Disney Pirates of the Caribbean: At World's End,420.0
600,Dragon Ball Z: Shin Budokai - Another Road,501.0
601,Spider-Man 3,619.0
602,The Golden Compass,420.0
603,Stuntman: Ignition,380.0
604,Chicken Shoot,37.0
605,Shrek the Third,285.0
606,DK: Jungle Climber,360.0
607,Dragon Quest IV: Chapters of the Chosen,1800.0
608,300: March to Glory,444.0
609,Fire Emblem: Radiant Dawn,2870.0
610,The Golden Compass,420.0
611,Manhunt 2,570.0
613,Virtua Tennis 3,930.0
614,All-Pro Football 2K8,720.0
616,The Warriors,627.0
617,Ghost Rider,289.0
618,Tony Hawk's Proving Ground,488.0
619,Juiced 2: Hot Import Nights,936.0
620,Juiced 2: Hot Import Nights,936.0
621,The Simpsons Game,60.0
622,Syphon Filter: Logan's Shadow,600.0
624,Ratatouille,750.0
625,Trauma Center: New Blood,754.0
626,Hotel Dusk: Room 215,900.0
627,Mega Man ZX Advent,656.0
628,Silent Hill: 0rigins,360.0
629,Harry Potter and the Order of the Phoenix,735.0
630,NHL 08 ,1050.0
631,Castlevania: The Dracula X Chronicles,450.0
632,Tony Hawk's Proving Ground,488.0
633,Jeanne d'Arc,2221.0
634,BWii: Battalion Wars 2,583.0000000000001
635,Battlestations: Midway,523.0
637,Touch the Dead,279.0
638,The Darkness,600.0
640,The BIGS,608.0
641,Armored Core 4,1200.0
642,Etrian Odyssey,3243.0
643,Ben 10: Protector of the Earth,273.0
644,Tom Clancy's Splinter Cell: Double Agent,660.0
645,Looney Tunes: Acme Arsenal,189.0
646,Zack & Wiki: Quest for Barbaros' Treasure,900.0
648,Virtua Fighter 5,90.0
649,Lunar Knights,915.0
650,Enchanted Arms,2400.0
651,F.E.A.R.: First Encounter Assault Recon,540.0
652,Folklore,998.9999999999999
653,Juiced 2: Hot Import Nights,936.0
654,The Elder Scrolls IV: Shivering Isles,948.0
655,NHL 08,1050.0
657,Rayman Raving Rabbids,371.0
658,Viva Pi$?ata: Party Animals,533.0
659,Warriors Orochi,900.0
660,Luminous Arc,1458.9999999999998
661,Picross DS,3041.0
662,Harry Potter and the Order of the Phoenix,735.0
664,The BIGS,608.0
665,Stuntman: Ignition,380.0
666,Mortal Kombat: Armageddon,500.00000000000006
667,Def Jam: Icon,480.0
668,Soulcalibur Legends,555.0
669,Surf's Up,77.0
670,Planet Puzzle League,18.999999999999996
671,DiRT,780.0
672,TMNT,300.0
673,Soldier of Fortune: Payback,195.0
674,Dynasty Warriors: Gundam,3048.0
675,Disney Pirates of the Caribbean: At World's End,420.0
676,Bee Movie Game,338.0
677,Dynasty Warriors: Gundam,3048.0
678,Golden Axe,60.0
679,Dementium: The Ward,240.0
680,Rondo of Swords,1062.0
681,Disgaea: Afternoon of Darkness,3576.0
683,Dragon Quest Swords: The Masked Queen and the T...,558.0
684,Call of Juarez,491.99999999999994
686,Eternal Sonata,2022.0000000000002
687,Kingdom Under Fire: Circle of Doom,3300.0
688,Vampire Rain,630.0
689,All-Pro Football 2K8,720.0
691,Conan,360.0
694,Conan,360.0
695,Spider-Man: Friend or Foe,540.0
698,Thrillville: Off the Rails,578.0
699,Geometry Wars: Galaxies,1110.0
700,Rayman Raving Rabbids,371.0
703,Beowulf: The Game,485.00000000000006
704,The Golden Compass,420.0
705,Scarface: The World is Yours,1383.9999999999998
708,NBA Street Homecourt,463.0
709,Geometry Wars: Galaxies,1110.0
710,Final Fantasy: Crystal Chronicles - Echoes of Time,1102.0
712,MX vs. ATV Untamed,720.0
713,WWE SmackDown vs. Raw 2008,786.0
714,The BIGS,608.0
715,Brave Story: New Traveler,1515.0
716,WipEout Pulse,540.0
717,TimeShift,535.0
719,Beautiful Katamari,360.0
720,Hour of Victory,369.0
721,Fantastic Four: Rise of the Silver Surfer,385.0
722,SEGA Rally Revo,2040.0
723,7 Wonders of the Ancient World,291.0
724,Draglade,244.0
725,Final Fantasy Fables: Chocobo Tales,735.0
728,The Golden Compass,420.0
729,Harry Potter and the Order of the Phoenix,735.0
730,Bladestorm: The Hundred Years' War,3075.0
731,Surf's Up,77.0
732,Blazing Angels 2: Secret Missions of WWII,750.0
733,InuYasha: Secret of the Divine Jewel,574.0
734,The Settlers,290.0
735,Shrek the Third,285.0
736,Ratatouille,750.0
737,Soldier of Fortune: Payback,195.0
738,Heatseeker,585.0
741,Fantastic Four: Rise of the Silver Surfer,385.0
743,Pro Evolution Soccer 2008,4200.0
744,Blazing Angels 2: Secret Missions of WWII,750.0
745,Cake Mania,352.0
747,Touch Detective 2 1/2,398.0
748,7 Wonders of the Ancient World,291.0
750,Crush,396.0
752,The Sims 2: Castaway,480.0
753,Test Drive Unlimited,2310.0
754,Thrillville: Off the Rails,578.0
756,Bladestorm: The Hundred Years' War,3075.0
757,Looney Tunes: Acme Arsenal,189.0
758,SEGA Rally Revo,2040.0
760,Indianapolis 500 Legends,870.0
761,Worms: Open Warfare 2,547.0
762,Alien Syndrome,180.0
763,BlackSite: Area 51,348.0
764,Code Lyoko: Quest for Infinity,348.0
766,FlatOut: Ultimate Carnage,1380.0
767,Zoids Assault,723.0
768,Alien Syndrome,180.0
770,Heroes of Mana,1621.0
771,Myst,423.0
772,Coded Arms: Contagion,600.0
774,F.E.A.R. Files,600.0
775,Ontamarama,60.0
776,Retro Game Challenge,620.0
777,Ultimate Mortal Kombat 3,120.0
779,Juiced 2: Hot Import Nights,936.0
780,Pursuit Force: Extreme Justice,480.0
781,Medal of Honor: Vanguard,217.99999999999997
783,Pro Evolution Soccer 2008,4200.0
784,Worms: Open Warfare 2,547.0
785,Surf's Up,77.0
786,Fantastic Four: Rise of the Silver Surfer,385.0
787,Brothers in Arms DS,300.0
789,Fantastic Four: Rise of the Silver Surfer,385.0
790,Zendoku,240.0
791,Heatseeker,585.0
792,Manhunt 2,570.0
796,Escape from Bug Island,397.0
798,Cabela's Big Game Hunter,240.0
802,Guilty Gear XX ? Core,120.0
804,Code Lyoko,420.0
806,Orcs & Elves,300.0
808,Dead Head Fred,594.0
809,Hot Pixel,43.0
810,The Legend of Heroes III: Song of the Ocean,3000.0
811,SEGA Rally Revo,2040.0
812,Bionicle Heroes,773.0
813,Burnout Dominator,1102.0
814,Samurai Warriors 2: Empires,750.0
816,Turn It Around,60.0
818,Dragoneer's Aria,2258.0
820,R-Type Command,1914.0
821,Virtua Tennis 3,930.0
822,Virtua Tennis 3,930.0
823,Front Mission,1218.0
825,Nervous Brickdown,480.0
826,Sea Monsters: A Prehistoric Adventure,300.0
829,Puzzle Quest: Challenge of the Warlords,2400.0
832,Driver: Parallel Lines,690.0
833,Mario Kart Wii,547.0
834,Grand Theft Auto IV,1920.0
835,Super Smash Bros.: Brawl,900.0
836,Call of Duty: World at War,480.0
837,Grand Theft Auto IV,1920.0
838,Gears of War 2,600.0
839,Pokmon: Platinum Version,2580.0
840,Metal Gear Solid 4: Guns of the Patriots,1134.0
841,Fable II,1200.0
842,Call of Duty: World at War,480.0
843,Guitar Hero: World Tour,517.0
844,LittleBigPlanet,600.0
845,Fallout 3,2700.0
846,LEGO Indiana Jones: The Original Adventures,823.0000000000001
847,Left 4 Dead,420.0
848,Madden NFL 09,871.0
849,Guitar Hero: On Tour,1440.0
850,Kung Fu Panda,300.0
851,Rock Band 2,750.0
852,Sega Superstars Tennis,480.0
853,Guitar Hero: World Tour,517.0
854,Animal Crossing: City Folk,3900.0
855,Mario & Sonic at the Olympic Games,540.0
856,Madden NFL 09,871.0
857,LEGO Batman: The Videogame,900.0
858,Tom Clancy's Rainbow Six: Vegas 2,540.0
859,Kirby Super Star Ultra,518.0
860,Star Wars: The Force Unleashed,330.0
861,God of War: Chains of Olympus,340.0
862,Fallout 3,2700.0
863,Pure,780.0
864,LEGO Indiana Jones: The Original Adventures,823.0000000000001
865,Rock Band,480.0
866,LEGO Batman: The Videogame,900.0
867,Saints Row 2,1421.0
868,LEGO Batman: The Videogame,900.0
869,Call of Duty: World at War,480.0
870,Midnight Club: Los Angeles,1862.0
871,Mortal Kombat vs. DC Universe,240.0
872,Army of Two,405.0
873,Resistance 2,600.0
874,Rock Band 2,750.0
875,Midnight Club: Los Angeles,1862.0
876,Sonic Unleashed,780.0
878,Guitar Hero: World Tour,517.0
879,Guitar Hero: Aerosmith,300.0
880,Star Wars: The Force Unleashed,330.0
881,Burnout Paradise,1200.0
882,Pokmon Ranger: Shadows of Almia,1500.0
883,Mortal Kombat vs. DC Universe,240.0
884,Dead Space,720.0
886,Star Wars: The Force Unleashed,330.0
887,Guitar Hero: Aerosmith,300.0
888,SOCOM: U.S. Navy SEALs - Confrontation,600.0
889,SoulCalibur IV,300.0
890,Battlefield: Bad Company,420.0
891,Saints Row 2,1421.0
892,Guitar Hero: On Tour - Decades,655.0
893,Devil May Cry 4,720.0
894,Mystery Case Files: MillionHeir,430.0
895,Battlefield: Bad Company,420.0
896,Army of Two,405.0
898,The House of the Dead 2 & 3 Return,240.0
899,Far Cry 2,1380.0
900,Boom Blox,420.0
902,Madden NFL 09,871.0
904,MLB 08: The Show,600.0
905,Tom Clancy's Rainbow Six: Vegas 2,540.0
906,Mercenaries 2: World in Flames,1216.0
907,Need for Speed: Undercover,672.0
908,Guitar Hero: Aerosmith,300.0
909,SoulCalibur IV,300.0
910,Valkyria Chronicles,2105.0
911,Harvest Moon: Tree of Tranquility,2310.0
912,Star Wars: The Clone Wars - Jedi Alliance,300.0
913,Need for Speed: Undercover,672.0
914,Wario Land: Shake It!,406.0
918,Kung Fu Panda,300.0
919,Devil May Cry 4,720.0
920,Tom Clancy's EndWar,585.0
921,LEGO Batman: The Videogame,900.0
922,BioShock,810.0
923,Bully: Scholarship Edition,1041.0
924,Prince of Persia,780.0
925,Kung Fu Panda,300.0
926,Sonic Chronicles: The Dark Brotherhood,1200.0
927,Chrono Trigger,1500.0
928,Tomb Raider: Underworld,601.9999999999999
930,The Legendary Starfy,594.0
931,Mirror's Edge,380.0
932,Haze,415.0
933,Dissidia: Final Fantasy,3000.0
934,Sid Meier's Civilization: Revolution,360.0
935,Wall-E,403.0
936,Prince of Persia,780.0
937,NHL 09 ,1200.0
938,Brothers in Arms: Hell's Highway,486.0
940,Turok,465.0
941,Iron Man,300.0
942,De Blob,600.0
943,Sonic Riders: Zero Gravity,256.0
944,Rhythm Heaven,520.0
945,Tomb Raider: Underworld,601.9999999999999
946,Advance Wars: Days of Ruin,1320.0
947,LEGO Batman: The Videogame,900.0
948,Far Cry 2,1380.0
949,Harvest Moon: Island of Happiness,2580.0
950,Brothers in Arms: Hell's Highway,486.0
951,Sonic Unleashed,780.0
952,Pinball Hall of Fame: The Williams Collection,1650.0
953,Sonic Unleashed,780.0
954,Samba de Amigo,480.0
955,?kami,2490.0
956,LEGO Indiana Jones: The Original Adventures,823.0000000000001
957,MotorStorm: Pacific Rift,1950.0
961,Sid Meier's Civilization: Revolution,360.0
962,Pure,780.0
963,Turok,465.0
964,Crash: Mind over Mutant,333.0
965,Spider-Man: Web of Shadows,720.0
966,Frontlines: Fuel of War,330.0
967,GRID,1388.0
968,Too Human,900.0
969,Speed Racer: The Videogame,743.0
970,LEGO Indiana Jones: The Original Adventures,823.0000000000001
971,SEGA Bass Fishing,420.0
972,The Chronicles of Narnia: Prince Caspian,699.0
973,Iron Man,300.0
975,MLB 08: The Show,600.0
976,Iron Man,300.0
977,Madagascar: Escape 2 Africa,390.0
978,GRID,1388.0
979,NHL 09,1200.0
980,Banjo-Kazooie: Nuts & Bolts,1167.0
982,Rune Factory 2: A Fantasy Harvest Moon,4024.9999999999995
984,Patapon,1007.0000000000001
986,Iron Man,300.0
987,Sega Superstars Tennis,480.0
988,Lost Planet: Extreme Condition,540.0
989,Mirror's Edge,380.0
990,The Incredible Hulk,313.0
991,Condemned 2: Bloodshot,570.0
992,Sega Superstars Tennis,480.0
993,Speed Racer: The Videogame,743.0
994,Viva Pi$?ata: Pocket Paradise,1260.0
995,Tom Clancy's EndWar,585.0
996,Iron Man,300.0
997,Need for Speed: Undercover,672.0
998,Wall-E,403.0
999,Spectrobes: Beyond the Portals,1815.0
1000,MX vs. ATV Untamed,720.0
1001,Mercenaries 2: World in Flames,1216.0
1002,Infinite Undiscovery,1560.0
1003,TNA iMPACT!,495.0
1004,Enemy Territory: Quake Wars,475.0
1005,Fire Emblem: Shadow Dragon,1311.0
1006,Neopets Puzzle Adventure,180.0
1007,Tales of Vesperia,3412.0
1009,Dragon Ball Z: Burst Limit,360.0
1010,Apollo Justice: Ace Attorney,1196.0
1011,Castlevania: Order of Ecclesia,800.0
1012,Mega Man Star Force 2: Zerker X Ninja,1200.0
1013,Enemy Territory: Quake Wars,475.0
1016,Turning Point: Fall of Liberty,300.0
1018,Unreal Tournament III,751.0
1020,Dark Sector,514.0
1021,The Last Remnant,4500.0
1022,Dragon Ball Z: Burst Limit,360.0
1024,Turning Point: Fall of Liberty,300.0
1025,MX vs. ATV Untamed,720.0
1026,Crash: Mind over Mutant,333.0
1027,The Incredible Hulk,313.0
1028,Silent Hill: Homecoming,576.0
1029,TNA iMPACT!,495.0
1030,The Incredible Hulk,313.0
1031,Kung Fu Panda,300.0
1032,Dark Sector,514.0
1033,Tales of Symphonia: Dawn of the New World,2206.0
1034,Valkyrie Profile: Covenant of the Plume,1125.0
1035,Spider-Man: Web of Shadows,720.0
1036,TV Show King,1800.0
1037,AC/DC Live: Rock Band - Track Pack,236.0
1038,The Chronicles of Narnia: Prince Caspian,699.0
1040,AC/DC Live: Rock Band - Track Pack,236.0
1041,Harvest Moon: Magical Melody,1822.0
1042,Dynasty Warriors 6,1020.0
1043,Order Up!,360.0
1045,Age of Empires: Mythologies,996.0000000000001
1046,LocoRoco 2,438.0
1047,Star Ocean: First Departure,1291.0
1048,Lost: Via Domus,338.0
1049,Tetris Party,120.0
1050,Bully: Scholarship Edition,1041.0
1051,The Spiderwick Chronicles,300.0
1052,Dynasty Warriors 6,1020.0
1054,Ninja Gaiden: Dragon Sword,323.0
1055,Condemned 2: Bloodshot,570.0
1056,Silent Hill: Homecoming,576.0
1057,Command & Conquer: Red Alert 3,682.0
1058,Viking: Battle for Asgard,960.0
1059,Beijing 2008,330.0
1060,Don King Presents: Prizefighter,771.0
1061,Bomberman,192.0
1062,Ferrari Challenge Trofeo Pirelli,1920.0
1063,Command & Conquer 3: Kane's Wrath,570.0
1064,Lost: Via Domus,338.0
1066,Eternal Sonata,2022.0000000000002
1067,Viva Pi$?ata: Trouble in Paradise,1252.0
1068,FlatOut: Head On,1380.0
1069,Viking: Battle for Asgard,960.0
1070,Neopets Puzzle Adventure,180.0
1071,TNA iMPACT!,495.0
1072,Tomb Raider: Underworld,601.9999999999999
1073,The Club,285.0
1074,The Chronicles of Narnia: Prince Caspian,699.0
1076,Dark Messiah of Might and Magic: Elements,720.0
1077,Fracture,420.0
1080,Culdcept Saga,2857.0
1083,Mushroom Men: The Spore Wars,357.0
1084,Dragon Quest V: Hand of the Heavenly Bride,2040.0
1085,Ninjatown,900.0
1086,Super Dodgeball Brawlers,41.0
1087,Dokapon Kingdom,1500.0
1088,Alone in the Dark,367.0
1090,Sega Superstars Tennis,480.0
1092,Destroy All Humans! Big Willy Unleashed,270.0
1095,The Club,285.0
1096,Madagascar: Escape 2 Africa,390.0
1099,Madagascar: Escape 2 Africa,390.0
1100,Pro Evolution Soccer 2008,4200.0
1101,Avalon Code,1431.0
1102,Disgaea DS,4232.0
1105,Syberia,630.0
1106,Afrika,1826.0
1110,ObsCure: The Aftermath,440.0
1114,Pinball Hall of Fame: The Williams Collection,1650.0
1117,Wall-E,403.0
1118,Ninja Reflex,230.0
1119,Conflict: Denied Ops,340.0
1121,Blitz: The League II,1200.0
1123,Castlevania Judgment,360.0
1124,Death Jr. II: Root of Evil,582.0
1125,Raiden IV,50.0
1126,Metal Slug 7,58.99999999999999
1127,Spider-Man: Web of Shadows,720.0
1128,Trauma Center: Under The Knife 2,631.9999999999999
1129,Fracture,420.0
1130,Alone in the Dark,367.0
1131,Final Fantasy Fables: Chocobo's Dungeon,1500.0
1133,Klonoa: Door to Phantomile,248.00000000000003
1137,Dragon Ball: Origins,646.9999999999999
1138,Ninja Reflex,230.0
1139,Space Bust-A-Move,241.0
1143,FIFA Street 3,330.0
1144,Blitz: The League II,1200.0
1145,Space Chimps,144.0
1146,The Spiderwick Chronicles,300.0
1147,Etrian Odyssey II: Heroes of Lagaard,3228.0
1151,Legendary,338.0
1152,Universe at War: Earth Assault,960.0
1154,Code Lyoko: Fall of X.A.N.A,909.0
1155,Knights in the Nightmare,1731.0
1156,Lock's Quest,900.0
1158,N+,1080.0
1160,The Spiderwick Chronicles,300.0
1161,Summon Night: Twin Age,900.0
1162,Wild Arms XF,3232.0
1163,FIFA Street 3,330.0
1165,Harvey Birdman: Attorney at Law,240.0
1168,Conflict: Denied Ops,340.0
1169,Worms: A Space Oddity,600.0
1171,Overlord: Raising Hell,870.0
1172,Battle Fantasia,63.0
1173,Bangai-O Spirits,630.0
1174,Dungeon Explorer: Warriors of Ancient Arts,470.0
1175,From the Abyss,338.0
1177,Soul Bubbles,519.0
1180,Zubo,900.0
1182,Harvey Birdman: Attorney at Law,240.0
1183,Secret Agent Clank,450.0
1185,Armored Core: For Answer,870.0
1186,Legendary,338.0
1187,Agatha Christie: Evil Under the Sun,457.0
1188,Agatha Christie: And Then There Were None,450.0
1189,Armored Core: For Answer,870.0
1191,The Dark Spire,2700.0
1192,"Flower, Sun and Rain",493.99999999999994
1193,Insecticide,221.0
1194,Izuna 2: The Unemployed Ninja Returns,795.0
1195,Looney Tunes: Cartoon Conductor,285.0
1196,Nanostray 2,180.0
1200,Vampire Rain,630.0
1201,Baroque,467.0
1202,Supreme Commander,1200.0
1204,Assassin's Creed: Altar's Chronicles,292.0
1205,The Legend of Kage 2,199.99999999999997
1206,Rhapsody: A Musical Adventure,600.0
1207,Secret Files: Tunguska,560.0
1210,Secret Files: Tunguska,560.0
1211,Chicken Hunter,90.0
